predictor,inferential_role,row_type,level,reference_level,reporting_unit,continuous_unit_scale,fit_status,separation_status,support_status,model_analysis_N,model_events,model_non_events,model_unique_subjects,value_1_n,value_0_n,value_1_events,value_0_events,level_n,level_events,level_non_events,level_unique_subjects,odds_ratio,ci_low,ci_high,coef_p_value,omnibus_p_value,effect_representation,spline_df,reason
mode_of_conception,CATEGORICAL,source,,spontaneous,,,OK,none,SEE_LEVEL_SUPPORT,431.0,61.0,370.0,430.0,,,,,,,,,,,,,0.036075820267567525,,,"categorical source-level omnibus test (one p-value per source predictor); see the per-level rows below for level-specific support_status (support_status here is SEE_LEVEL_SUPPORT, not an eligibility filter)"
mode_of_conception,CATEGORICAL,level,IUI,spontaneous,,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,,,,,9.0,4.0,5.0,9.0,6.094117647058823,1.550204408522505,23.957014760130978,0.009664138888958538,,,,categorical level-specific contrast vs reference
mode_of_conception,CATEGORICAL,level,IVF,spontaneous,,,OK,none,OK,431.0,61.0,370.0,430.0,,,,,125.0,22.0,103.0,125.0,1.627070245573958,0.9058324389964537,2.9225687556133813,0.10331397484060735,,,,categorical level-specific contrast vs reference
mode_of_conception,CATEGORICAL,level,other_fertility_treatment,spontaneous,,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,,,,,4.0,1.0,3.0,4.0,2.5392156862745106,0.2540768342210728,25.37663979161692,0.4275405839995545,,,,categorical level-specific contrast vs reference
endo_resection_lesion,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,174.0,257.0,21.0,40.0,,,,,0.7446078431372549,0.42157384169877,1.315168981612676,0.30960921639941275,,,,
Fetus_Anamoly,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,35.0,396.0,6.0,55.0,,,,,1.2827586206896555,0.5082703466393598,3.2373906717819225,0.5980558445816655,,,,
endo_resection_adhesiolysis,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,145.0,286.0,18.0,43.0,,,,,0.8009522065555756,0.4430645652602637,1.4479253984335285,0.46250531633608616,,,,
bowel_lesion_resected,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,37.0,394.0,6.0,55.0,,,,,1.192961876832844,0.47465699095770214,2.998287324716477,0.7074880363028486,,,,
endo_resection_ovarian_endometrioma_unilateral,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,83.0,348.0,11.0,50.0,,,,,0.9105555555555557,0.45021386562951077,1.8415945910368243,0.7942910828420253,,,,
height,CONTINUOUS,source,,,5 cm,5.0,OK,none,NOT_APPLICABLE_CONTINUOUS_COUNT,363.0,52.0,311.0,362.0,,,,,,,,,0.7639961183190221,0.6079834902200808,0.960042629768197,0.02089563586589854,,linear_one_slope,,model_analysis_N / model_events / model_non_events describe sample and fit adequacy only (a per-unit continuous/count effect has no exposed-vs-unexposed contrast cells)
AB,COUNT,source,,,1 pregnancy loss / abortion,1.0,OK,none,NOT_APPLICABLE_CONTINUOUS_COUNT,431.0,61.0,370.0,430.0,,,,,,,,,0.9549244122726467,0.6586319379522627,1.3845071588683757,0.8077279685817251,,linear_one_slope,,model_analysis_N / model_events / model_non_events describe sample and fit adequacy only (a per-unit continuous/count effect has no exposed-vs-unexposed contrast cells)
